Restaurant ID;Restaurant Name;Menu URL;Rating;Address;Latitude;Longitude
JE62007;La Lupa;https://www.just-eat.es/restaurants-la-lupa-madrid/menu;;Avenida de Bruselas, 69, 28028, Madrid;40.441685;-3.66337
JE62013;Mercado 47: Mercado De Chamberí;https://www.just-eat.es/restaurants-mercado-de-chamberi-madrid/menu;100.0;Calle de Alonso Cano, 10, 28010, Madrid;40.43619;-3.697588
JE62015;Mercado 47: Mercado De La Paz;https://www.just-eat.es/restaurants-mercado-de-la-paz-madrid/menu;60.0;Calle de Ayala, 28, 28001, Madrid;40.42773;-3.68577
JE62017;Mercado 47: Mercado De Las Águilas;https://www.just-eat.es/restaurants-mercado-de-las-aguilas-madrid/menu;80.0;Calle de Blas Cabrera, 125, 28044, Madrid;40.377934;-3.768191
JE62021;Mercado 47: Mercado De Barceló;https://www.just-eat.es/restaurants-mercado-de-barcelo-madrid/menu;40.0;Calle de Barceló, 6, 28004, Madrid;40.42677;-3.698856
JE62039;En brasas & +;https://www.just-eat.es/restaurants-en-brasas-y-madrid/menu;60.0;Calle de Galicia, 24, 28024, Madrid;40.398125;-3.771952
JE62057;Pizzería PastiPizza 2;https://www.just-eat.es/restaurants-pizzeria-pastipizza-2-madrid/menu;80.0;Calle de Esteban Mora, 55, 28027, Madrid;40.43966;-3.652662
JE62061;Starbucks Quevedo;https://www.just-eat.es/restaurants-starbucks-quevedo-madrid/menu;60.0;Glorieta de Quevedo, 9, 28015, Madrid;40.43341;-3.703821
JE62069;Starbucks Fuencarral;https://www.just-eat.es/restaurants-starbucks-fuencarral-madrid/menu;;Calle de Fuencarral, 43, 28004, Madrid;40.422985;-3.701056
JE62070;Starbucks Avenida de Europa;https://www.just-eat.es/restaurants-starbucks-avenida-de-europa-28224/menu;60.0;Avenida de Europa, 11, 28224, Pozuelo de Alarcón;40.438206;-3.79436
